chapter,index,x,y
Foreword,0,33.26,48.20
Foreword,1,37.57,85.96
Foreword,2,41.88,123.72
Foreword,3,46.20,161.49
Foreword,4,50.51,199.25
Foreword,5,54.83,237.01
Foreword,6,59.14,274.77
Foreword,7,63.45,312.54
Foreword,8,67.77,350.30
Foreword,9,72.08,388.06
Foreword,10,76.39,425.82
Foreword,11,80.71,463.59
Foreword,12,85.02,501.35
Foreword,13,89.33,539.11
Foreword,14,93.65,576.87
Foreword,15,97.96,614.64
Foreword,16,102.27,652.40
Foreword,17,106.59,690.16
Foreword,18,110.90,727.92
Foreword,19,115.22,765.69
Foreword,20,119.53,803.45
Foreword,21,123.84,836.44
Foreword,22,128.16,869.42
Foreword,23,132.47,902.41
Foreword,24,136.78,935.40
Foreword,25,141.06,902.41
Foreword,26,145.33,869.42
Foreword,27,149.61,836.44
Foreword,28,153.88,803.45
Foreword,29,158.16,765.69
Foreword,30,162.43,727.92
Foreword,31,166.71,690.16
Foreword,32,170.98,652.40
Foreword,33,175.26,614.64
Foreword,34,179.53,576.87
Foreword,35,183.81,539.11
Foreword,36,188.08,501.35
Foreword,37,192.36,463.59
Foreword,38,196.63,425.82
Foreword,39,200.91,388.06
Foreword,40,205.18,350.30
Foreword,41,209.46,312.54
Foreword,42,213.73,274.77
Foreword,43,218.01,237.01
Foreword,44,222.28,199.25
Foreword,45,226.56,161.49
Foreword,46,230.83,123.72
Foreword,47,235.11,85.96
Foreword,48,239.38,48.20
Chapter1,0,319.00,48.20
Chapter1,1,319.00,66.51
Chapter1,2,319.00,84.82
Chapter1,3,319.00,103.12
Chapter1,4,319.00,121.43
Chapter1,5,319.00,139.74
Chapter1,6,319.00,158.05
Chapter1,7,319.00,176.36
Chapter1,8,319.00,194.67
Chapter1,9,319.00,212.97
Chapter1,10,319.00,231.28
Chapter1,11,319.00,249.59
Chapter1,12,319.00,267.90
Chapter1,13,319.00,286.21
Chapter1,14,319.00,304.52
Chapter1,15,319.00,322.82
Chapter1,16,319.00,341.13
Chapter1,17,319.00,359.44
Chapter1,18,319.00,377.75
Chapter1,19,319.00,396.06
Chapter1,20,319.00,414.37
Chapter1,21,319.00,432.67
Chapter1,22,319.00,450.98
Chapter1,23,319.00,469.29
Chapter1,24,319.00,487.60
Chapter1,25,319.00,505.91
Chapter1,26,319.00,524.22
Chapter1,27,319.00,542.52
Chapter1,28,319.00,560.83
Chapter1,29,319.00,579.14
Chapter1,30,319.00,597.45
Chapter1,31,319.00,615.76
Chapter1,32,319.00,634.07
Chapter1,33,319.00,652.37
Chapter1,34,319.00,670.68
Chapter1,35,319.00,688.99
Chapter1,36,319.00,707.30
Chapter1,37,319.00,725.61
Chapter1,38,319.00,743.92
Chapter1,39,319.00,762.22
Chapter1,40,319.00,780.53
Chapter1,41,319.00,798.84
Chapter1,42,319.00,817.15
Chapter1,43,319.00,835.46
Chapter1,44,319.00,853.77
Chapter1,45,319.00,872.07
Chapter1,46,319.00,890.38
Chapter1,47,319.00,908.69
Chapter1,48,319.00,927.00
Chapter2,0,575.11,235.45
Chapter2,1,573.92,206.92
Chapter2,2,572.74,178.38
Chapter2,3,571.55,149.85
Chapter2,4,570.37,121.31
Chapter2,5,562.17,92.74
Chapter2,6,553.97,64.16
Chapter2,7,532.77,42.58
Chapter2,8,499.57,33.00
Chapter2,9,467.51,40.58
Chapter2,10,445.44,64.16
Chapter2,11,435.38,92.74
Chapter2,12,425.31,121.31
Chapter2,13,423.81,149.85
Chapter2,14,422.32,178.38
Chapter2,15,425.82,206.92
Chapter2,16,429.32,235.45
Chapter2,17,438.03,263.99
Chapter2,18,446.73,292.52
Chapter2,19,455.43,321.06
Chapter2,20,464.13,349.59
Chapter2,21,473.84,377.69
Chapter2,22,483.55,405.80
Chapter2,23,493.25,433.90
Chapter2,24,502.96,462.00
Chapter2,25,512.98,492.74
Chapter2,26,523.00,523.47
Chapter2,27,533.03,554.21
Chapter2,28,543.05,584.95
Chapter2,29,551.56,620.85
Chapter2,30,560.08,656.75
Chapter2,31,568.59,692.64
Chapter2,32,577.11,728.54
Chapter2,33,577.11,758.93
Chapter2,34,580.11,789.33
Chapter2,35,580.11,819.72
Chapter2,36,577.11,850.11
Chapter2,37,570.22,880.96
Chapter2,38,555.34,911.80
Chapter2,39,532.46,934.65
Chapter2,40,499.57,943.50
Chapter2,41,466.05,934.65
Chapter2,42,442.52,911.80
Chapter2,43,427.99,880.96
Chapter2,44,421.46,850.11
Chapter2,45,420.30,819.72
Chapter2,46,419.14,789.33
Chapter2,47,417.98,758.93
Chapter2,48,416.82,728.54
Chapter3,0,677.54,48.20
Chapter3,1,677.54,85.50
Chapter3,2,677.54,122.81
Chapter3,3,677.54,160.11
Chapter3,4,677.54,197.42
Chapter3,5,677.54,234.72
Chapter3,6,677.54,272.02
Chapter3,7,677.54,309.33
Chapter3,8,677.54,346.63
Chapter3,9,677.54,383.94
Chapter3,10,677.54,421.24
Chapter3,11,677.54,458.54
Chapter3,12,677.54,495.85
Chapter3,13,677.54,533.15
Chapter3,14,677.54,570.46
Chapter3,15,677.54,607.76
Chapter3,16,677.54,645.07
Chapter3,17,677.54,682.37
Chapter3,18,677.54,719.67
Chapter3,19,677.54,756.98
Chapter3,20,677.54,794.28
Chapter3,21,679.40,839.09
Chapter3,22,687.27,883.89
Chapter3,23,708.13,924.70
Chapter3,24,753.00,943.50
